Element Number	Equivalent (von-Mises) Stress (Pa)
768	8,324e+006
769	1,4715e+007
770	1,3003e+007
771	1,0013e+007
772	1,2924e+007
773	3,3958e+006
774	8,0449e+006
775	8,8908e+006
776	7,0464e+006
777	5,2382e+006
778	1,2286e+006
779	1,7127e+006
780	9,354e+006
781	5,5198e+006
782	1,0008e+007
783	6,7694e+006
784	7,0286e+006
785	5,9835e+006
786	7,9619e+006
787	1,6897e+007
788	1,6128e+007
789	1,0592e+007
790	1,3962e+007
791	4,8231e+006
792	1,5217e+007
793	8,0582e+006
794	8,8398e+006
795	6,2373e+006
796	4,5608e+006
797	5,3938e+006
798	3,7962e+006
799	9,3283e+006
800	7,4111e+006
801	2,8822e+006
802	4,7727e+006
803	7,0167e+006
804	1,4341e+007
805	1,6493e+007
806	6,6599e+006
807	6,3655e+006
808	6,1515e+006
809	6,2142e+006
810	5,9198e+006
811	5,5483e+006
812	9,2802e+006
813	4,6166e+006
814	1,3083e+007
815	5,2811e+006
816	4,0367e+006
817	7,8373e+006
818	4,0888e+006
819	5,9269e+006
820	1,1712e+006
821	1,3525e+007
822	6,2364e+006
823	7,5642e+006
824	5,7072e+006
825	1,1115e+007
826	4,5908e+006
827	9,2046e+006
828	7,5501e+006
829	4,9129e+006
830	4,4544e+006
831	9,3969e+006
832	6,842e+006
833	7,4241e+006
834	5,3884e+006
835	3,7895e+006
836	2,1514e+006
837	4,786e+006
838	6,5886e+006
839	1,3202e+007
840	8,2437e+006
841	1,1109e+007
842	2,9294e+006
843	7,6196e+006
844	5,8866e+006
845	9,0354e+006
846	6,1428e+006
847	1,8614e+007
848	1,1358e+007
849	1,3226e+007
850	1,4622e+007
851	1,4843e+007
852	1,0503e+007
853	1,1947e+007
854	9,1574e+006
855	9,2496e+006
856	8,5526e+006
857	1,339e+007
858	9,6222e+006
859	1,4978e+007
860	8,8949e+006
861	1,0088e+007
862	9,5813e+006
863	8,9757e+006
864	8,5574e+006
865	9,0314e+006
866	9,7969e+006
867	9,5219e+006
868	9,7189e+006
869	9,4866e+006
870	1,2136e+007
871	7,7547e+006
872	1,1736e+007
873	1,1002e+007
874	1,3678e+007
875	6,6164e+006
876	1,0044e+007
877	1,1319e+007
878	8,8463e+006
879	8,5826e+006
880	3,3893e+007
881	2,2832e+007
882	3,0546e+007
883	2,3705e+007
884	2,1764e+007
885	6,3878e+006
886	6,4459e+006
887	3,6165e+006
888	7,4365e+006
889	6,7668e+006
890	5,8557e+006
891	4,4707e+006
892	5,5016e+006
893	1,0006e+007
894	5,0854e+006
895	5,9888e+006
896	5,189e+006
897	5,0711e+006
898	1,3134e+007
899	7,2554e+006
900	1,0054e+007
901	1,2949e+007
902	8,9796e+006
903	8,2452e+006
904	6,8405e+006
905	5,0287e+006
906	4,5653e+006
907	7,0082e+006
908	7,6825e+006
909	6,511e+006
910	5,0472e+006
911	8,4923e+006
912	5,0459e+006
913	7,6623e+006
914	7,9322e+006
915	3,4019e+006
916	6,1298e+006
917	4,5386e+006
918	8,551e+006
919	1,4086e+007
920	2,5862e+006
921	2,9401e+006
922	4,6033e+006
923	4,8126e+006
924	4,175e+006
925	4,8132e+006
926	5,3394e+006
927	7,524e+006
928	8,1731e+006
929	8,4118e+006
930	6,3684e+006
931	1,2969e+007
932	2,4858e+006
933	9,4998e+005
934	2,1556e+006
935	4,4778e+006
936	7,8369e+006
937	4,9178e+006
938	2,0825e+006
939	4,7683e+006
940	5,2844e+006
941	3,857e+006
942	3,9415e+006
943	1,0998e+007
944	1,6715e+007
945	2,4459e+007
946	3,1462e+006
947	4,814e+006
948	3,446e+006
949	7,5686e+006
950	7,3703e+006
951	4,3375e+006
952	3,6077e+006
953	1,1623e+007
954	8,7973e+006
955	7,5946e+006
956	8,696e+006
957	4,1792e+006
958	2,2239e+006
959	2,2752e+007
960	1,5399e+007
961	7,6704e+006
962	9,9192e+006
963	7,0148e+006
964	2,134e+007
965	1,7284e+007
966	3,2142e+006
967	2,0626e+006
968	6,8953e+006
969	4,1932e+006
970	7,4589e+006
971	5,9547e+006
972	7,2969e+006
973	1,0511e+007
974	1,1715e+007
975	5,7294e+006
976	4,289e+006
977	1,0621e+007
978	7,5914e+006
979	1,4725e+007
980	1,5759e+007
981	3,933e+006
982	2,7788e+006
983	5,517e+006
984	7,0004e+006
985	5,8919e+006
986	4,3641e+006
987	5,7612e+006
988	4,7165e+006
989	1,1637e+006
990	2,2632e+006
991	7,0249e+006
992	6,3692e+006
993	4,692e+006
994	1,2095e+007
995	2,0107e+006
996	2,7136e+006
997	5,6095e+006
998	4,3514e+006
999	4,5521e+006
1000	7,0936e+006
1001	2,9995e+006
1002	3,9728e+006
1003	2,4871e+006
1004	5,1543e+006
1005	7,1546e+006
1006	6,1832e+006
1007	5,8974e+006
1008	3,2875e+006
1009	2,377e+006
1010	5,1531e+006
1011	8,6457e+006
1012	6,3312e+006
1013	3,5729e+007
1014	3,639e+006
1015	5,4143e+006
1016	3,7218e+006
1017	6,4646e+006
1018	8,5319e+006
1019	1,3357e+007
1020	6,1589e+006
1021	8,1127e+006
1022	3,7116e+006
1023	3,2481e+006
1024	4,1843e+006
1025	6,3255e+006
1026	6,5556e+006
1027	1,3453e+007
1028	6,0549e+006
1029	5,9982e+006
1030	6,772e+006
1031	5,7245e+006
1032	1,6323e+007
1033	1,1785e+007
1034	6,5064e+006
1035	7,8394e+006
1036	1,4823e+007
1037	1,0384e+007
1038	9,5846e+006
1039	5,3022e+006
1040	6,869e+006
1041	5,5155e+006
1042	4,0498e+006
1043	4,3388e+006
1044	6,224e+006
1045	5,2583e+006
1046	1,0697e+007
1047	1,333e+007
1048	4,0136e+006
1049	5,3969e+006
1050	6,2273e+006
1051	5,9301e+006
1052	5,1819e+006
1053	1,1114e+007
1054	1,4412e+007
1055	5,657e+006
1056	7,1015e+006
1057	8,5595e+006
1058	5,0283e+006
1059	5,408e+006
1060	3,5969e+006
1061	1,1968e+007
1062	6,5087e+006
1063	1,1443e+007
1064	1,0681e+007
1065	8,8271e+006
1066	7,8688e+006
1067	6,9299e+006
1068	6,3618e+006
1069	4,3285e+006
1070	9,7646e+006
1071	1,4226e+007
1072	7,1165e+006
1073	8,725e+006
1074	3,1122e+007
1075	3,2512e+007
1076	1,8631e+007
1077	1,3228e+007
1078	5,6993e+006
1079	4,9521e+006
1080	5,2158e+006
1081	6,6034e+006
1082	4,113e+006
1083	5,0614e+006
1084	9,6723e+006
1085	1,0522e+007
1086	1,1235e+007
1087	1,0325e+007
1088	1,4041e+007
1089	1,0413e+007
1090	9,4188e+006
1091	6,9488e+006
1092	9,0059e+006
1093	9,6241e+006
1094	1,0968e+007
1095	5,4833e+006
1096	1,0055e+007
1097	6,9003e+006
1098	1,4716e+007
1099	5,7448e+006
1100	1,5846e+007
1101	1,2871e+007
1102	1,1986e+007
1103	9,1536e+006
1104	5,5922e+006
1105	9,7509e+006
1106	1,272e+007
1107	1,3475e+007
1108	7,3966e+006
1109	1,2445e+007
1110	1,2748e+007
1111	8,179e+006
1112	9,7756e+006
1113	1,4545e+007
1114	7,8283e+006
1115	5,1573e+006
