Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
34	3,2361e-002	2,3511e-002	2,e-002	3,5481e-006
35	2,6765e-002	2,9726e-002	2,e-002	3,3842e-006
36	2,e-002	3,4641e-002	2,e-002	3,3816e-006
37	1,2361e-002	3,8042e-002	2,e-002	3,3121e-006
38	4,1811e-003	3,9781e-002	2,e-002	3,3673e-006
39	-4,1811e-003	3,9781e-002	2,e-002	3,3827e-006
40	-1,2361e-002	3,8042e-002	2,e-002	3,4163e-006
41	-2,e-002	3,4641e-002	2,e-002	3,5157e-006
42	-2,6765e-002	2,9726e-002	2,e-002	3,4787e-006
43	-3,2361e-002	2,3511e-002	2,e-002	3,5828e-006
44	-3,6542e-002	1,6269e-002	2,e-002	3,6549e-006
45	-3,9126e-002	8,3165e-003	2,e-002	3,5659e-006
46	-4,e-002	2,4286e-017	2,e-002	3,6219e-006
47	-3,9126e-002	-8,3165e-003	2,e-002	3,5652e-006
48	-3,6542e-002	-1,6269e-002	2,e-002	3,5141e-006
49	-3,2361e-002	-2,3511e-002	2,e-002	3,579e-006
50	-2,6765e-002	-2,9726e-002	2,e-002	3,5799e-006
51	-2,e-002	-3,4641e-002	2,e-002	3,5341e-006
52	-1,2361e-002	-3,8042e-002	2,e-002	3,4139e-006
53	-4,1811e-003	-3,9781e-002	2,e-002	3,3995e-006
54	4,1811e-003	-3,9781e-002	2,e-002	3,4474e-006
55	1,2361e-002	-3,8042e-002	2,e-002	3,527e-006
56	2,e-002	-3,4641e-002	2,e-002	3,5103e-006
57	2,6765e-002	-2,9726e-002	2,e-002	3,5333e-006
58	3,2361e-002	-2,3511e-002	2,e-002	3,4893e-006
59	3,6542e-002	-1,6269e-002	2,e-002	3,547e-006
60	3,9126e-002	-8,3165e-003	2,e-002	3,5515e-006
61	6,e-002	7,3479e-018	2,e-002	2,5997e-006
62	5,9416e-002	8,3504e-003	2,e-002	2,5081e-006
63	5,7676e-002	1,6538e-002	2,e-002	2,3243e-006
64	5,4813e-002	2,4404e-002	2,e-002	2,086e-006
65	5,0883e-002	3,1795e-002	2,e-002	1,8706e-006
66	4,5963e-002	3,8567e-002	2,e-002	1,7426e-006
67	4,0148e-002	4,4589e-002	2,e-002	1,7219e-006
68	3,3552e-002	4,9742e-002	2,e-002	1,8315e-006
69	2,6302e-002	5,3928e-002	2,e-002	1,9887e-006
70	1,8541e-002	5,7063e-002	2,e-002	2,2536e-006
71	1,0419e-002	5,9088e-002	2,e-002	2,4314e-006
72	2,094e-003	5,9963e-002	2,e-002	2,4926e-006
73	-6,2717e-003	5,9671e-002	2,e-002	2,4412e-006
74	-1,4515e-002	5,8218e-002	2,e-002	2,2847e-006
75	-2,2476e-002	5,5631e-002	2,e-002	2,0369e-006
76	-3,e-002	5,1962e-002	2,e-002	1,8432e-006
77	-3,694e-002	4,7281e-002	2,e-002	1,671e-006
78	-4,316e-002	4,168e-002	2,e-002	1,7054e-006
79	-4,8541e-002	3,5267e-002	2,e-002	1,8371e-006
80	-5,2977e-002	2,8168e-002	2,e-002	1,9792e-006
81	-5,6382e-002	2,0521e-002	2,e-002	2,179e-006
82	-5,8689e-002	1,2475e-002	2,e-002	2,3557e-006
83	-5,9854e-002	4,1854e-003	2,e-002	2,3509e-006
84	-5,9854e-002	-4,1854e-003	2,e-002	2,3116e-006
85	-5,8689e-002	-1,2475e-002	2,e-002	2,282e-006
86	-5,6382e-002	-2,0521e-002	2,e-002	2,1115e-006
87	-5,2977e-002	-2,8168e-002	2,e-002	1,9999e-006
88	-4,8541e-002	-3,5267e-002	2,e-002	1,8873e-006
89	-4,316e-002	-4,168e-002	2,e-002	1,8409e-006
90	-3,694e-002	-4,7281e-002	2,e-002	1,8745e-006
91	-3,e-002	-5,1962e-002	2,e-002	1,9515e-006
92	-2,2476e-002	-5,5631e-002	2,e-002	2,1428e-006
93	-1,4515e-002	-5,8218e-002	2,e-002	2,3794e-006
94	-6,2717e-003	-5,9671e-002	2,e-002	2,5118e-006
95	2,094e-003	-5,9963e-002	2,e-002	2,5319e-006
96	1,0419e-002	-5,9088e-002	2,e-002	2,503e-006
97	1,8541e-002	-5,7063e-002	2,e-002	2,3365e-006
98	2,6302e-002	-5,3928e-002	2,e-002	2,0986e-006
99	3,3552e-002	-4,9742e-002	2,e-002	1,9014e-006
100	4,0148e-002	-4,4589e-002	2,e-002	1,8925e-006
101	4,5963e-002	-3,8567e-002	2,e-002	1,8513e-006
102	5,0883e-002	-3,1795e-002	2,e-002	2,0067e-006
103	5,4813e-002	-2,4404e-002	2,e-002	2,2015e-006
104	5,7676e-002	-1,6538e-002	2,e-002	2,4186e-006
105	5,9416e-002	-8,3504e-003	2,e-002	2,5983e-006
106	6,e-002	7,3479e-018	0,	7,13e-007
107	5,9416e-002	8,3504e-003	0,	7,4572e-007
108	5,7676e-002	1,6538e-002	0,	8,3513e-007
109	5,4813e-002	2,4404e-002	0,	8,7618e-007
110	5,0883e-002	3,1795e-002	0,	9,1158e-007
111	4,5963e-002	3,8567e-002	0,	1,017e-006
112	4,0148e-002	4,4589e-002	0,	1,0709e-006
113	3,3552e-002	4,9742e-002	0,	1,1251e-006
114	2,6302e-002	5,3928e-002	0,	1,0452e-006
115	1,8541e-002	5,7063e-002	0,	9,5537e-007
116	1,0419e-002	5,9088e-002	0,	8,696e-007
117	2,094e-003	5,9963e-002	0,	7,7816e-007
118	-6,2717e-003	5,9671e-002	0,	7,3479e-007
119	-1,4515e-002	5,8218e-002	0,	8,6861e-007
120	-2,2476e-002	5,5631e-002	0,	9,5753e-007
121	-3,e-002	5,1962e-002	0,	1,0535e-006
122	-3,694e-002	4,7281e-002	0,	1,0658e-006
123	-4,316e-002	4,168e-002	0,	1,0405e-006
124	-4,8541e-002	3,5267e-002	0,	1,0278e-006
125	-5,2977e-002	2,8168e-002	0,	9,7387e-007
126	-5,6382e-002	2,0521e-002	0,	9,1812e-007
127	-5,8689e-002	1,2475e-002	0,	7,8523e-007
128	-5,9854e-002	4,1854e-003	0,	6,8119e-007
129	-5,9854e-002	-4,1854e-003	0,	7,3882e-007
130	-5,8689e-002	-1,2475e-002	0,	7,8663e-007
131	-5,6382e-002	-2,0521e-002	0,	9,1695e-007
132	-5,2977e-002	-2,8168e-002	0,	1,0592e-006
133	-4,8541e-002	-3,5267e-002	0,	1,0639e-006
134	-4,316e-002	-4,168e-002	0,	1,0616e-006
135	-3,694e-002	-4,7281e-002	0,	1,0554e-006
136	-3,e-002	-5,1962e-002	0,	1,0094e-006
137	-2,2476e-002	-5,5631e-002	0,	1,0288e-006
138	-1,4515e-002	-5,8218e-002	0,	9,2244e-007
139	-6,2717e-003	-5,9671e-002	0,	8,1413e-007
140	2,094e-003	-5,9963e-002	0,	8,0552e-007
141	1,0419e-002	-5,9088e-002	0,	8,9273e-007
142	1,8541e-002	-5,7063e-002	0,	9,2198e-007
143	2,6302e-002	-5,3928e-002	0,	9,7483e-007
144	3,3552e-002	-4,9742e-002	0,	1,0157e-006
145	4,0148e-002	-4,4589e-002	0,	1,0459e-006
146	4,5963e-002	-3,8567e-002	0,	9,6924e-007
147	5,0883e-002	-3,1795e-002	0,	9,7686e-007
148	5,4813e-002	-2,4404e-002	0,	9,3195e-007
149	5,7676e-002	-1,6538e-002	0,	8,6227e-007
150	5,9416e-002	-8,3504e-003	0,	7,9012e-007
151	3,e-003	-5,e-002	2,e-002	2,5866e-006
152	1,5e-003	-4,7402e-002	2,e-002	2,7924e-006
153	-1,5e-003	-4,7402e-002	2,e-002	2,7803e-006
154	-3,e-003	-5,e-002	2,e-002	2,5723e-006
155	-1,5e-003	-5,2598e-002	2,e-002	2,4513e-006
156	1,5e-003	-5,2598e-002	2,e-002	2,4778e-006
157	3,e-003	5,e-002	2,e-002	2,5361e-006
158	1,5e-003	5,2598e-002	2,e-002	2,4151e-006
159	-1,5e-003	5,2598e-002	2,e-002	2,3949e-006
