Node Number	X Location (m)	Y Location (m)	Z Location (m)	
357	5,0889e-003	4,5058e-002	4,5615e-003	
358	2,0116e-002	4,4816e-002	1,1031e-002	
359	-8,8549e-003	5,2818e-002	6,7435e-003	
360	6,6181e-003	4,6179e-002	1,5123e-002	
361	1,2363e-002	-4,7586e-002	1,0336e-002	
362	-3,9572e-002	3,0634e-002	4,9881e-003	
363	4,7051e-002	-1,8663e-002	1,2405e-002	
364	-4,4016e-002	1,5036e-002	9,0125e-003	
365	5,47e-002	6,5541e-003	7,2829e-003	
366	5,7236e-003	-5,4457e-002	5,1645e-003	
367	4,5158e-002	1,4358e-002	1,2715e-002	
368	-5,1196e-002	8,5802e-003	1,5323e-002	
369	-4,5513e-002	-1,593e-002	1,3278e-002	
370	-4,658e-002	-8,1996e-003	7,0011e-003	
371	-6,0844e-003	-5,3513e-002	4,4914e-003	
372	-1,6759e-002	3,2797e-002	4,9998e-003	
373	3,3002e-002	3,5961e-002	1,1979e-002	
374	3,9553e-002	-3,0112e-002	9,4249e-003	
375	-1,6091e-002	4,7351e-002	1,2533e-002	
376	1,2988e-002	3,6731e-002	4,8412e-003	
377	-4,5207e-002	-3,5799e-003	1,3863e-002	
378	-7,2244e-003	4,5988e-002	4,9043e-003	
379	-2,5931e-003	-5,5404e-002	1,4086e-002	
380	-4,6608e-002	7,2559e-003	7,8584e-003	
381	4,3003e-002	2,5892e-002	9,8896e-003	
382	4,8663e-002	-9,8378e-003	1,1873e-002	
383	-7,4955e-003	-4,8982e-002	1,1802e-002	
384	6,2492e-003	-4,5829e-002	1,4642e-002	
385	-6,7451e-003	5,0134e-002	1,1067e-002	
386	4,5445e-002	8,6658e-003	6,0938e-003	
387	-4,4366e-002	1,2327e-017	5,e-003	
388	4,8021e-002	8,1067e-003	1,1485e-002	
389	-2,8406e-003	4,3591e-002	1,5e-002	
390	1,3406e-003	-4,3591e-002	1,5e-002	
391	-3,3728e-003	5,4924e-002	4,0214e-003	
392	-8,9102e-003	-4,5189e-002	5,4074e-003	
393	1,21e-002	-3,3158e-002	5,e-003	
394	-4,4744e-002	4,9638e-003	1,4617e-002	
395	1,8747e-003	5,6711e-002	1,5465e-002	
